state,city,compound_sentiment_mean,positive_sentiment_mean,negative_sentiment_mean,rating (stars)_mean,rating_count_mean,rating_count_count
CA,Los Angeles,0.12,0.21,0.11,2.8,2663.19,1034
CA,North Hollywood,0.19,0.3,0.09,3.4,1794.56,1710
CA,San Diego,0.17,0.35,0.12,3.2,886.68,1230
CA,Santa Monica,0.17,0.21,0.1,3.2,3380.28,820
CA,Sunnyvale,0.19,0.31,0.08,3.3,1562.0,800
DC,Washington,0.23,0.4,0.09,3.6,1270.2,683
FL,Fern Park,0.23,0.38,0.09,3.5,1617.67,1700
FL,Kissimmee,0.15,0.2,0.1,2.8,5566.55,1720
FL,Miami,0.0,0.21,0.14,2.6,2809.45,1570
FL,Miami Beach,-0.16,0.14,0.17,2.0,4922.0,570
FL,Orlando,0.18,0.21,0.1,2.9,6891.08,3090
IL,Oak Park,0.19,0.35,0.09,3.4,1454.0,751
Las,3999 S Las Vegas Blvd,0.11,0.25,0.11,3.0,2365.0,1030
NJ,Newark,0.08,0.38,0.15,3.0,1564.15,1290
NJ,Voorhees Township,0.28,0.48,0.08,3.6,933.0,943
NY,Champlain,0.2,0.28,0.09,3.3,1306.02,620
NY,New York,0.19,0.34,0.11,3.3,2449.55,3486
NY,Queens,0.17,0.34,0.11,3.3,2193.0,1140
PA,Brodheadsville,0.21,0.46,0.12,3.5,1028.0,1028
TX,Austin,0.1,0.32,0.13,2.9,1329.06,1726
TX,Dallas,0.2,0.3,0.11,3.1,2657.69,1650
TX,Fort Worth,0.17,0.42,0.14,3.3,957.0,850
TX,Roanoke,0.25,0.45,0.09,3.5,998.15,1168
TX,San Antonio,0.18,0.28,0.09,3.1,1460.0,635
UT,Salt Lake City,0.07,0.17,0.12,2.5,3243.0,890
VA,Annandale,0.27,0.54,0.12,3.7,595.0,602
